No dump file specified
 num     #instances         #bytes  class name (module)
 302:             2             80  java.util.Locale$Category (java.base@14.0.2)
 303:             5             80  java.util.concurrent.locks.ReentrantLock (java.base@14.0.2)
 304:             5             80  java.util.regex.Pattern$$Lambda$67/0x0000000800bc7840 (java.base@14.0.2)
 305:             2             80  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@14.0.2)
 306:             2             80  jdk.internal.ref.Cleaner (java.base@14.0.2)
 307:             1             80  org.postgresql.core.PGStream
 308:             1             80  org.postgresql.jdbc.TypeInfoCache
 309:             2             80  sun.nio.cs.UTF_8$Decoder (java.base@14.0.2)
 310:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@14.0.2)
 311:             1             80  sun.util.locale.provider.JRELocaleProviderAdapter (java.base@14.0.2)
 312:             1             80  sun.util.locale.provider.LocaleProviderAdapter$NonExistentAdapter (java.base@14.0.2)
 313:             3             72  [Ljava.security.ProtectionDomain; (java.base@14.0.2)
 314:             1             72  [Lorg.postgresql.core.ServerVersion;
 315:             3             72  java.io.OutputStreamWriter (java.base@14.0.2)
 316:             3             72  java.lang.ThreadLocal$ThreadLocalMap (java.base@14.0.2)
 317:             3             72  java.lang.WeakPairMap (java.base@14.0.2)
 318:             3             72  java.lang.annotation.RetentionPolicy (java.base@14.0.2)
 319:             3             72  java.lang.invoke.StringConcatFactory$Mode (java.base@14.0.2)
 320:             3             72  java.net.Proxy$Type (java.base@14.0.2)
 321:             3             72  java.nio.file.AccessMode (java.base@14.0.2)
 322:             3             72  java.security.DrbgParameters$Capability (java.base@14.0.2)
 323:             1             72  java.security.SecureRandom (java.base@14.0.2)
 324:             3             72  java.security.SecurityPermission (java.base@14.0.2)
 325:             3             72  java.time.ZoneOffset (java.base@14.0.2)
 326:             3             72  java.util.Collections$UnmodifiableRandomAccessList (java.base@14.0.2)
 327:             1             72  java.util.regex.Matcher (java.base@14.0.2)
 328:             3             72  java.util.stream.Collector$Characteristics (java.base@14.0.2)
 329:             3             72  jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer (java.base@14.0.2)
 330:             3             72  jdk.internal.module.IllegalAccessLogger$Mode (java.base@14.0.2)
 331:             3             72  org.postgresql.core.TransactionState
 332:             3             72  org.postgresql.jdbc.AutoSave
 333:             3             72  org.postgresql.jdbc.EscapeSyntaxCallMode
 334:             3             72  org.postgresql.jdbc.PgConnection$ReadOnlyBehavior
 335:             3             72  org.postgresql.shaded.com.ongres.scram.client.ScramClient$ChannelBinding
 336:             3             72  org.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2CbindFlag
 337:             2             64  [Ljava.lang.annotation.RetentionPolicy; (java.base@14.0.2)
 338:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@14.0.2)
 339:             2             64  [Ljava.nio.charset.CoderResult; (java.base@14.0.2)
 340:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@14.0.2)
 341:             2             64  [Lorg.postgresql.jdbc.AutoSave;
 342:             2             64  [Lorg.postgresql.jdbc.PgConnection$ReadOnlyBehavior;
 343:             2             64  java.io.FileOutputStream (java.base@14.0.2)
 344:             2             64  java.io.RandomAccessFile (java.base@14.0.2)
 345:             2             64  java.lang.ClassValue$Entry (java.base@14.0.2)
 346:             2             64  java.lang.invoke.MethodHandles$Lookup (java.base@14.0.2)
 347:             2             64  java.lang.invoke.VarHandle$AccessDescriptor (java.base@14.0.2)
 348:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@14.0.2)
 349:             2             64  java.net.InetAddress$InetAddressHolder (java.base@14.0.2)
 350:             2             64  java.nio.DirectByteBuffer$Deallocator (java.base@14.0.2)
 351:             2             64  java.util.Collections$SynchronizedMap (java.base@14.0.2)
 352:             4             64  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@14.0.2)
 353:             4             64  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@14.0.2)
 354:             1             64  java.util.logging.LogManager$RootLogger (java.logging@14.0.2)
 355:             2             64  java.util.zip.ZipFile$CleanableResource (java.base@14.0.2)
 356:             2             64  org.postgresql.core.CachedQuery
 357:             2             64  sun.nio.fs.NativeBuffer (java.base@14.0.2)
 358:             2             64  sun.reflect.annotation.AnnotationType (java.base@14.0.2)
 359:             1             64  sun.security.provider.SHA2$SHA256 (java.base@14.0.2)
 360:             1             56  [Ljava.lang.Runnable; (java.base@14.0.2)
 361:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@14.0.2)
 362:             1             56  [Ljava.util.logging.Level; (java.logging@14.0.2)
 363:             1             56  [Lorg.postgresql.shaded.com.ongres.scram.common.ScramAttributes;
 364:             1             56  [[I (java.base@14.0.2)
 365:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@14.0.2)
 366:             1             56  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@14.0.2)
 367:             1             56  java.lang.invoke.LambdaFormEditor$Transform (java.base@14.0.2)
 368:             1             56  java.net.SocketPermission (java.base@14.0.2)
 369:             1             56  java.util.ServiceLoader (java.base@14.0.2)
 370:             1             56  java.util.logging.LogManager (java.logging@14.0.2)
 371:             1             56  jdk.internal.org.objectweb.asm.Label (java.base@14.0.2)
 372:             1             56  jdk.internal.ref.CleanerImpl$SoftCleanableRef (java.base@14.0.2)
 373:             1             56  sun.security.smartcardio.SunPCSC$ProviderService (java.smartcardio@14.0.2)
 374:             1             48  [Ljava.math.RoundingMode; (java.base@14.0.2)
 375:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@14.0.2)
 376:             1             48  [Lorg.postgresql.core.SqlCommandType;
 377:             1             48  [Lru.job4j.tracker.UserAction;
 378:             1             48  java.io.BufferedReader (java.base@14.0.2)
 379:             2             48  java.io.File$PathStatus (java.base@14.0.2)
 380:             2             48  java.io.InputStreamReader (java.base@14.0.2)
 381:             2             48  java.lang.StringBuilder (java.base@14.0.2)
